timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687566543327,4,Get Catalog,200,,GetCatalog 1-1,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,1
1687566543331,3,Get Catalog,200,,GetCatalog 1-1,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,0
1687566543334,3,Get Catalog,200,,GetCatalog 1-1,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,0
1687566543340,3,Get Catalog,200,,GetCatalog 1-2,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,3,0,1
1687566543343,2,Get Catalog,200,,GetCatalog 1-2,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543345,2,Get Catalog,200,,GetCatalog 1-2,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543356,3,Get Catalog,200,,GetCatalog 1-3,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,3,0,0
1687566543360,1,Get Catalog,200,,GetCatalog 1-3,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543358,3,Get Catalog,200,,GetCatalog 1-4,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,3,0,1
1687566543361,2,Get Catalog,200,,GetCatalog 1-4,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543361,2,Get Catalog,200,,GetCatalog 1-3,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543364,1,Get Catalog,200,,GetCatalog 1-4,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543374,4,Get Catalog,200,,GetCatalog 1-5,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,4,0,1
1687566543378,1,Get Catalog,200,,GetCatalog 1-5,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543379,1,Get Catalog,200,,GetCatalog 1-5,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543390,3,Get Catalog,200,,GetCatalog 1-6,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,3,0,0
1687566543390,3,Get Catalog,200,,GetCatalog 1-7,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,3,0,0
1687566543393,2,Get Catalog,200,,GetCatalog 1-6,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543393,2,Get Catalog,200,,GetCatalog 1-7,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543395,2,Get Catalog,200,,GetCatalog 1-7,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543395,2,Get Catalog,200,,GetCatalog 1-6,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543398,2,Get Catalog,200,,GetCatalog 1-8,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,0
1687566543400,1,Get Catalog,200,,GetCatalog 1-8,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543402,1,Get Catalog,200,,GetCatalog 1-8,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543414,2,Get Catalog,200,,GetCatalog 1-9,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543416,1,Get Catalog,200,,GetCatalog 1-9,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543417,1,Get Catalog,200,,GetCatalog 1-9,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,0,0,0
1687566543430,2,Get Catalog,200,,GetCatalog 1-11,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,1
1687566543430,2,Get Catalog,200,,GetCatalog 1-10,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,1
1687566543432,1,Get Catalog,200,,GetCatalog 1-11,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543432,1,Get Catalog,200,,GetCatalog 1-10,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543433,2,Get Catalog,200,,GetCatalog 1-10,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543433,2,Get Catalog,200,,GetCatalog 1-11,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543439,2,Get Catalog,200,,GetCatalog 1-12,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543441,1,Get Catalog,200,,GetCatalog 1-12,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543442,1,Get Catalog,200,,GetCatalog 1-12,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543455,2,Get Catalog,200,,GetCatalog 1-13,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,2,0,1
1687566543457,2,Get Catalog,200,,GetCatalog 1-13,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543459,1,Get Catalog,200,,GetCatalog 1-13,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
1687566543458,2,Get Catalog,200,,GetCatalog 1-14,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,1
1687566543460,1,Get Catalog,200,,GetCatalog 1-14,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543461,1,Get Catalog,200,,GetCatalog 1-14,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543476,1,Get Catalog,200,,GetCatalog 1-15,text,true,,1386,132,1,1,http://localhost:8081/sandwich/catalog,1,0,0
1687566543477,2,Get Catalog,200,,GetCatalog 1-15,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,2,0,0
1687566543479,1,Get Catalog,200,,GetCatalog 1-16,text,true,,1386,132,2,2,http://localhost:8081/sandwich/catalog,1,0,0
